no,first_name,last_name,yr,pos,app,gs,w,l,sv,cg,ip,h,r,er,bb,k,k_7,hr,era,team_name,division
22,Elizabeth,Brooks,Freshman,RHP,26,20,5,6,0,11,121.2,161,97,78,34,62,3.57,10,4.49,Shelton State,1
11,KiKi,Lipsey,Sophomore,RHP,10,2,0,3,0,0,25,35,31,28,12,7,1.96,3,7.84,Shelton State,1
9,Morgan,Dawson,Freshman,3B,1,0,0,0,0,0,0.2,3,3,3,0,0,0,1,31.5,Shelton State,1
24,Lydia,West,Freshman,P,40,27,14,14,2,18,196.1,215,118,92,57,100,3.57,36,3.28,Snead State,1
21,Reagan,Cornelius,Sophomore,P,31,27,14,10,1,13,140.2,140,99,81,68,119,5.92,28,4.03,Snead State,1
3,Brittany,Slaten,Freshman,P,7,6,2,4,0,3,28,26,31,24,27,19,4.75,6,6,Snead State,1
4,Ashlyn,Hallman,Sophomore,P,6,2,1,2,0,0,12.1,23,28,19,16,11,6.24,3,10.78,Snead State,1
7,Trinity,Britnell,Freshman,P,9,1,0,3,0,0,11.1,21,23,13,6,1,0.62,1,8.03,Snead State,1
13,Chloe,Smith,Freshman,P,5,0,0,0,1,0,8,10,9,6,11,1,0.88,0,5.25,Snead State,1
28,Kaylee,Harris,Sophomore,P,20,11,5,0,0,6,79,89,50,40,37,39,3.46,5,3.54,Southern Union State,1
25,Maddy,Walker,Sophomore,P,19,10,2,1,0,5,70.1,74,37,27,17,49,4.88,3,2.69,Southern Union State,1
12,Ally,Rushing,Freshman,P/UT,20,8,2,1,0,3,51.1,88,55,44,14,21,2.86,6,6,Southern Union State,1
3,Nicole,Turner,Sophomore,P/UT,13,13,1,1,0,4,51.1,65,41,27,25,28,3.82,3,3.68,Southern Union State,1
1,Addi,Yarbrough,Freshman,P/UT,16,7,0,1,0,2,46.2,80,48,44,16,17,2.55,5,6.6,Southern Union State,1
22,Emma,Machen,Freshman,P,5,2,1,0,0,0,12,21,20,10,6,5,2.92,4,5.83,Southern Union State,1
3,Emily,Simon,Freshman,P,24,2,17,1,3,2,127.1,72,36,18,35,156,8.58,3,0.99,Wallace State,1
22,Alivia,Wilken,Sophomore,P,19,0,16,2,1,0,93.1,77,28,19,17,80,6,2,1.43,Wallace State,1
1,Katie,Simon,Freshman,,19,1,11,3,0,1,89.2,61,31,22,54,122,9.52,0,1.72,Wallace State,1
16,Amelia,Sherrill,Freshman,P,8,0,5,0,1,0,32.2,36,14,11,13,20,4.29,0,2.36,Wallace State,1
32,Tessa,Word,Freshman,P,9,2,3,1,0,0,26,27,19,17,11,23,6.19,2,4.58,Wallace State,1
13,Lola,Jarrad,Sophomore,P,3,0,0,0,0,0,5,6,5,4,6,2,2.8,0,5.6,Wallace State,1
10,Anna Grace,Hennesy,Sophomore,RHP,29,29,20,3,0,16,166.2,160,80,57,44,80,3.36,19,2.39,Wallace-Dothan,1
24,Olivia,Elliott,Freshman,"RHP, 3B",25,22,14,7,0,15,118.1,145,84,61,22,56,3.31,19,3.61,Wallace-Dothan,1
25,Maci,Curlee,Sophomore,RHP,20,7,8,2,3,4,68.1,61,41,30,39,30,3.07,3,3.07,Wallace-Dothan,1
20,Emily,Castle,Sophomore,LHP,7,0,0,0,0,0,13.2,15,7,7,1,6,3.07,1,3.59,Wallace-Dothan,1
14,Jalei,Freeman,Freshman,RHP,5,0,0,1,0,0,5.1,9,10,7,7,3,3.94,2,9.19,Wallace-Dothan,1
16,Morgan,Moss,Freshman,RHP,4,0,0,0,0,0,4,2,4,2,5,3,5.25,0,3.5,Wallace-Dothan,1
11,Kristyn,Lormand,Sophomore,UT,25,15,8,8,2,12,112.2,139,102,75,40,52,3.23,14,4.66,Baton Rouge,1
26,Marley,Olivier,Sophomore,P,21,16,9,8,0,5,82.2,129,96,58,18,53,4.49,12,4.91,Baton Rouge,1
8,Macy,Castleman,Freshman,P,21,15,8,5,0,8,79.2,83,72,48,53,35,3.08,8,4.22,Baton Rouge,1
1,Karaline,Randazzo,Freshman,UT,2,0,1,0,0,0,1,4,4,2,2,0,0,0,14,Baton Rouge,1
9,Karlie,Bean,Freshman,P/1B,19,17,11,6,0,10,98.2,140,90,61,48,86,6.1,11,4.33,Frontier,1
8,Madison,Shipley,Sophomore,P/OF,19,13,7,6,0,6,80.2,123,90,56,22,56,4.86,10,4.86,Frontier,1
21,Morgan,Carr,Sophomore,P/1B,13,13,6,5,0,4,64,92,73,63,44,70,7.66,6,6.89,Frontier,1
20,Kyleigh,Guinzy,Sophomore,P/3B,20,5,4,3,0,1,51,95,66,49,9,27,3.71,12,6.73,Frontier,1
11,Destiny,Powers,Sophomore,P/3B,14,4,2,2,1,1,32.1,81,73,59,25,23,4.98,8,12.77,Frontier,1
1,Celena,Luna,Freshman,3B/OF,2,2,0,2,0,0,8.2,9,13,11,11,4,3.23,1,8.88,Frontier,1
7,Kaylee,Halsema,Freshman,P/C,3,0,0,0,0,0,3.2,6,7,3,3,3,5.73,1,5.73,Frontier,1
20,Avery,Budde,Freshman,P/IF,30,16,19,3,0,10,136,141,76,64,33,77,3.96,13,3.29,John A. Logan,1
3,Emma,Markham,Freshman,P,27,16,12,6,1,6,114.2,111,58,53,40,109,6.65,11,3.24,John A. Logan,1
8,Hailie,Charmat,Freshman,P,31,20,8,4,4,4,85.1,97,63,55,35,88,7.22,10,4.51,John A. Logan,1
27,Jordan,Poppleton,Freshman,P/UTL,7,4,2,0,0,2,15,17,8,4,4,11,5.13,0,1.87,John A. Logan,1
7,Adi,Foutch,Freshman,IF/UTL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,John A. Logan,1
17,Karlie,McKenzie,Freshman,RHP/1B,47,14,23,3,0,9,153.2,111,74,49,56,264,12.03,16,2.23,Kaskaskia,1
14,Ivy,Smart,Sophomore,RHP/1B,34,25,12,5,1,9,128.2,138,101,66,46,93,5.06,7,3.59,Kaskaskia,1
7,Sydnee,Garrett,Sophomore,RHP/3B,31,25,13,7,0,5,114.1,122,90,53,59,56,3.43,8,3.24,Kaskaskia,1
21,Aspen,Schmidt,Freshman,RHP/OF,10,3,1,3,0,1,25.1,28,24,15,13,19,5.25,0,4.14,Kaskaskia,1
15,Tinley,Beecham,Freshman,NA,34,20,18,4,3,10,179,134,82,59,49,115,4.5,19,2.31,Lake Land,1
31,Rylie,Burney,Freshman,NA,30,24,17,5,0,5,116.2,144,81,59,34,65,3.9,15,3.54,Lake Land,1
33,Bryanna,French,Freshman,NA,32,18,15,3,1,10,112.2,129,64,43,31,58,3.6,7,2.67,Lake Land,1
44,Ailene,Walker,Freshman,NA,5,0,0,0,0,0,6.2,8,11,9,6,3,3.15,1,9.45,Lake Land,1
12,Kendall,Mathews,Freshman,NA,1,0,0,0,0,0,2,0,0,0,0,4,14,0,0,Lake Land,1
25,Taylor,Henry,Freshman,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Lake Land,1
23,Halle,Ellis,Sophomore,P,26,22,3,3,1,19,148.1,147,108,64,48,118,5.57,21,3.02,Lincoln Trail,1
20,Kendal,Edmondson,Freshman,P,23,16,6,0,0,14,107,104,91,55,52,64,4.19,12,3.6,Lincoln Trail,1
32,Addie,Brasier,Freshman,UTL,13,9,0,0,1,2,26.1,31,25,17,11,10,2.66,1,4.52,Lincoln Trail,1
57,Athena,McGinness,Freshman,NA,28,17,6,8,1,8,107.1,102,91,61,63,118,7.7,16,3.98,Olney Central,1
24,Erica,Henry,Sophomore,NA,29,17,6,3,0,5,100,131,99,53,35,36,2.52,9,3.71,Olney Central,1
0,Aubrey,Page,Sophomore,NA,18,8,2,3,2,1,51.2,85,71,47,13,17,2.3,9,6.37,Olney Central,1
11,Madison,Cherry,Sophomore,NA,15,8,4,7,0,1,40.1,60,53,25,14,16,2.78,5,4.34,Olney Central,1
21,Hanna,Krockenberger,Freshman,NA,17,3,0,1,0,0,25.1,53,47,28,9,9,2.49,6,7.74,Olney Central,1
17,Libby,Mayers,Sophomore,"P, UT",21,18,3,7,0,5,84.2,156,106,74,24,23,1.9,22,6.12,Rend Lake,1
14,Caitlen,England,Freshman,P,21,6,0,5,2,1,53,78,55,43,15,23,3.04,12,5.68,Rend Lake,1
1,Emily,Melvin,Freshman,"P, OF",17,13,1,3,0,2,50,93,91,67,24,10,1.4,11,9.38,Rend Lake,1
6,Ashlyn,Childers,Freshman,"P, UT",12,0,0,1,0,0,23.1,45,45,31,18,8,2.4,4,9.3,Rend Lake,1
10,Valerie,Greenley,Sophomore,P/OF,36,28,1,3,0,12,137,244,206,153,64,66,3.37,34,7.82,Shawnee,1
22,Chandler,Moss,Sophomore,P/3B/SS,32,23,2,3,0,14,127,263,225,126,41,56,3.09,26,6.94,Shawnee,1
20,Jayden,Welch,Freshman,P/1B,18,0,0,0,0,0,21.1,38,48,35,21,4,1.31,7,11.48,Shawnee,1
22,Whitley,Hunter,NA,P/3B,38,32,17,19,0,26,203.1,166,150,78,85,223,7.68,11,2.69,Southeastern Illinois,1
10,Madison,Bolte,NA,P/3B,22,6,4,5,1,0,52.2,84,55,48,21,15,1.99,4,6.38,Southeastern Illinois,1
15,Morgan,Snell,NA,P,16,9,2,3,1,2,44.2,56,44,35,33,18,2.82,2,5.49,Southeastern Illinois,1
27,Rachel,Richter,NA,P,14,7,3,1,2,0,30.1,51,33,27,20,12,2.77,1,6.23,Southeastern Illinois,1
20,Grace,Middendorf,Freshman,P,26,22,10,9,1,10,119.2,146,112,84,56,69,4.04,12,4.91,Southwestern Illinois,1
22,Kylie,Angel,Freshman,P,22,21,8,9,0,7,108.2,148,103,90,37,60,3.87,41,5.8,Southwestern Illinois,1
25,Liz,Young,Sophomore,P,14,6,5,3,0,4,53,64,32,27,10,16,2.11,5,3.57,Southwestern Illinois,1
7,Emily,Allsman,Sophomore,P,21,4,3,4,2,2,49.2,64,38,26,7,22,3.1,8,3.66,Southwestern Illinois,1
9,Kiley,Ladage,Freshman,1B/P,2,1,1,0,0,1,9,8,2,1,2,4,3.11,0,0.78,Southwestern Illinois,1
16,Lexi,Renner,Sophomore,OF/P,1,0,0,0,0,0,0.1,1,1,1,0,0,0,1,21,Southwestern Illinois,1
10,Demi,Wolfe,Freshman,IF,37,30,10,15,0,11,160.2,200,145,110,73,118,5.14,22,4.79,Wabash Valley,1
7,Lexi,Burris,Sophomore,P,32,25,7,12,1,10,133.2,209,146,116,57,81,4.24,12,6.07,Wabash Valley,1
8,Kyrsten,White,Sophomore,P/OF,35,4,4,7,1,1,77.2,128,87,69,21,32,2.88,12,6.22,Wabash Valley,1
8,Paige,Salazar,Sophomore,P/OF,28,10,10,11,0,6,130,182,112,82,45,110,5.92,16,4.42,Chandler-Gilbert,2
5,Sydnee,Edwards,Sophomore,P/UT,23,15,6,10,1,7,80.1,123,100,76,46,58,5.05,12,6.62,Chandler-Gilbert,2
16,Ahjaida,Solomon,Freshman,P/INF,28,16,2,7,0,2,76.1,149,125,100,71,49,4.49,12,9.17,Chandler-Gilbert,2
10,Isabella,Hernandez,Freshman,Pitcher,19,13,1,3,0,0,32.1,80,63,46,17,26,5.63,6,9.96,Chandler-Gilbert,2
3,Jocelyn,Ruiz,Freshman,Pitcher,3,0,0,0,0,0,2,8,11,7,4,1,3.5,0,24.5,Chandler-Gilbert,2
15,Kelly,Katalbas,Freshman,,46,42,9,32,0,37,264.2,390,282,216,72,210,5.55,26,5.71,GateWay (AZ),2
21,Kaitlin,Samuelson,Freshman,,8,6,0,5,0,1,11.2,25,46,17,25,9,5.4,0,10.2,GateWay (AZ),2
4,Angelina,Martinez,Freshman,OF,5,0,0,1,0,0,5.2,20,22,15,7,2,2.47,1,18.53,GateWay (AZ),2
24,Jai'dyn,Moore,Freshman,P/1B,2,0,0,0,0,0,3.2,16,21,16,4,1,1.91,1,30.55,GateWay (AZ),2
99,MJ,Bannon,Freshman,NA,32,2,6,16,0,1,139,235,184,141,53,95,4.78,23,7.1,Glendale,2
13,Mia,Machado,Sophomore,NA,36,0,3,18,0,0,113.2,233,191,116,46,39,2.4,23,7.14,Glendale,2
33,Sydney,Roe,Sophomore,NA,13,1,3,6,0,0,57.1,70,50,36,25,43,5.25,12,4.4,Glendale,2
17,Carmen,Salinas,Freshman,NA,10,0,1,3,0,0,14,43,43,36,12,9,4.5,12,18,Glendale,2
3,Jade,Nunez,Sophomore,NA,4,0,0,0,0,0,7.1,7,10,4,2,5,4.77,1,3.82,Glendale,2
16,Natalie,Martinez,Freshman,NA,2,0,0,0,0,0,5.1,8,10,10,5,2,2.63,2,13.13,Glendale,2
77,Taylor,Caccavale,Freshman,NA,2,0,0,0,0,0,2,2,3,3,5,1,3.5,0,10.5,Glendale,2
34,Alanie,Ornelas,Sophomore,P,31,20,12,10,0,5,117,176,116,106,42,62,3.71,20,6.34,Mesa,2
2,Jerzey,Gutierrez,Freshman,P,20,13,8,7,0,10,82.1,107,69,61,23,74,6.29,16,5.19,Mesa,2
9,Alyssa,Grandpre,Freshman,P,26,15,4,7,1,1,69.2,140,101,90,30,20,2.01,18,9.04,Mesa,2
26,Sydnie,Navaho,Freshman,P,30,9,3,4,1,2,68,101,87,74,48,25,2.57,7,7.62,Mesa,2
6,Dawn,Morris,Sophomore,NA,22,0,6,13,0,0,116.2,184,140,115,42,55,3.3,22,6.9,Paradise Valley,2
19,Holly,Myers,Freshman,NA,22,0,6,12,0,0,107.2,173,164,134,82,32,2.08,14,8.71,Paradise Valley,2
4,Angelique,Aguayo,Sophomore,NA,10,0,0,3,2,0,21.2,45,37,26,22,19,6.14,3,8.4,Paradise Valley,2
22,Jazlyn,Romero,Sophomore,NA,9,0,0,2,0,0,17,31,33,29,16,2,0.82,2,11.94,Paradise Valley,2
23,Emily,Viramontes,Sophomore,NA,1,0,0,0,0,0,3,4,2,2,1,3,7,0,4.67,Paradise Valley,2
16,Alexis,Ayersman,Freshman,P/INF,35,19,21,4,2,16,160,165,82,57,43,132,5.77,7,2.49,Phoenix,2
6,Loganne,Stepp,Freshman,,25,21,13,3,0,9,108,81,63,50,54,157,10.18,18,3.24,Phoenix,2
2,Sydney,Haake,Freshman,P/INF,23,13,11,3,0,2,74.1,96,68,40,21,59,5.56,12,3.77,Phoenix,2
44,Alyssa,Tinnin,Freshman,P,18,7,3,2,2,0,41,51,39,26,21,32,5.46,4,4.44,Phoenix,2
3,Adriana,Armstrong,Freshman,P/1B,30,25,10,17,0,19,144,247,198,126,59,80,3.89,27,6.13,Scottsdale,2
5,Catalina,Sanchez,Freshman,UTIL,22,18,3,14,0,11,83.2,144,119,76,46,30,2.51,19,6.36,Scottsdale,2
27,Erica,Gilles,Freshman,P,10,2,1,2,0,1,23.1,44,38,26,18,5,1.5,7,7.8,Scottsdale,2
7,Lakisha,Shorty,Sophomore,UTIL,6,1,0,0,0,0,13,18,21,16,12,7,3.77,3,8.62,Scottsdale,2
8,Katherine,Lincoln,Freshman,MI/P,1,1,0,1,0,0,2.2,8,8,4,3,1,2.63,0,10.5,Scottsdale,2
23,Anisa,Reynolds,Sophomore,P/OF,32,26,22,4,1,18,159.2,167,100,76,60,110,4.82,22,3.33,South Mountain,2
1,Angelica,Tello,Freshman,P,29,24,17,2,2,12,124.2,129,99,74,25,95,5.33,24,4.16,South Mountain,2
9,Mykenzie,Flores,Freshman,P,26,10,9,3,2,6,81.2,101,66,55,30,50,4.29,12,4.71,South Mountain,2
22,Adenira,Marquez,Freshman,P/INF,11,4,6,1,0,4,33,32,22,17,11,12,2.55,8,3.61,South Mountain,2
17,Isabel,Ray,Sophomore,RHP/IF,25,23,8,16,0,12,135.1,216,157,98,25,79,4.09,28,5.07,Carl Albert State,2
19,Allee,Erne,Freshman,RHP,28,9,4,5,4,3,77.2,132,108,82,34,19,1.71,21,7.39,Carl Albert State,2
7,Kattie,Bailey,Freshman,LHP/IF,20,11,2,10,3,2,60,84,114,66,65,12,1.4,9,7.7,Carl Albert State,2
11,Shaileigh,Gilkey,Freshman,OF,1,1,1,0,0,1,7,5,4,2,2,9,9,0,2,Carl Albert State,2
22,Abby,Ellis,Freshman,IF,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Carl Albert State,2
20,Alexa,Hopkins,Sophomore,P,53,4,22,2,3,1,172,112,29,25,21,168,6.84,3,1.02,Murray State,2
11,Christina,Clark,Freshman,P,29,1,18,0,0,0,90,71,25,19,15,90,7,5,1.48,Murray State,2
5,Ileana,Lucio,Sophomore,P,27,0,17,0,0,0,84,66,30,27,35,108,9,5,2.25,Murray State,2
16,Taylor,Marchin,Freshman,P,5,0,1,0,0,0,8,9,7,7,1,5,4.38,2,6.13,Murray State,2
26,Makenna,Keeton,Sophomore,P/1B,27,22,12,7,0,10,124.1,133,79,64,29,106,5.97,20,3.6,National Park,2
10,Jadyn,Hart,Sophomore,P/OF,19,6,8,6,0,3,69,70,52,36,24,78,7.91,8,3.65,National Park,2
5,Cameron,Person,Freshman,P/1B,23,15,6,5,0,2,67.1,80,54,35,48,41,4.26,6,3.64,National Park,2
8,Kacey,Solida,Sophomore,P,23,11,7,2,2,5,64.1,81,44,36,17,37,4.03,11,3.92,National Park,2
8,Alyson,Rooney,Freshman,P,23,19,5,15,0,16,114,175,146,81,32,93,5.71,16,4.97,North Arkansas,2
25,Jorden,Hodges,Freshman,P,18,12,5,7,0,8,75.1,119,88,57,23,44,4.09,8,5.3,North Arkansas,2
15,Macey,Teague,Freshman,P,15,5,1,9,0,2,53,103,77,55,18,15,1.98,6,7.26,North Arkansas,2
7,Jessica,Fieker,Freshman,P,7,6,3,2,0,3,31.2,51,25,22,10,13,2.87,2,4.86,North Arkansas,2
28,Mara,Lakey,Freshman,P,3,1,0,0,0,0,4.2,7,4,3,1,2,3,0,4.5,North Arkansas,2
22,Morgan,Mcguire,Freshman,IF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,North Arkansas,2
33,KARIS,ROBINSON,Sophomore,P,19,13,3,1,0,3,69.2,96,69,42,38,40,4.02,7,4.22,SAU Tech,2
12,ELLIE,COX,Freshman,P/1B,16,5,2,0,1,1,40.2,59,40,32,12,18,3.1,2,5.51,SAU Tech,2
1,RALEY,SULLIVAN,Sophomore,P,15,6,1,1,2,0,37.2,58,36,30,16,17,3.16,3,5.58,SAU Tech,2
0,Jordyn,Standley,Sophomore,P,11,3,0,0,0,0,18.1,24,17,15,5,17,6.49,0,5.73,SAU Tech,2
8,GABRIELLA,EVERITT,Freshman,P/3B,10,3,2,0,1,1,13,33,21,18,7,12,6.46,2,9.69,SAU Tech,2
5,CADENCE,GRAY,Freshman,UTL,4,0,0,0,0,0,6.2,10,11,7,4,1,1.05,1,7.35,SAU Tech,2
13,ALYSSA,STULTZ,Freshman,UTL,5,2,0,1,0,0,2.1,13,17,14,3,1,3,1,42,SAU Tech,2
10,KATLYN,ERICKSON,Freshman,P,2,0,0,0,0,0,1,4,6,6,4,0,0,1,42,SAU Tech,2
12,Peyton,McCloskey,Freshman,P,40,2,3,5,1,1,138.1,219,197,119,64,52,2.63,2,6.02,South Arkansas,2
20,Jaden,Boydstun,Freshman,OF,25,2,1,0,0,0,72,114,107,69,52,33,3.21,3,6.71,South Arkansas,2
24,Alyssa,Norris,Freshman,P,24,1,3,0,2,1,61.2,89,74,53,34,58,6.58,6,6.02,South Arkansas,2
7,Makenna,Denofrio,Sophomore,INF,2,0,0,0,0,0,4,14,14,8,2,1,1.75,0,14,South Arkansas,2
6,Gabbi,Kelly,Freshman,INF,1,0,0,0,0,0,1,3,3,3,0,0,0,0,21,South Arkansas,2
13,Maddie,Muller,Freshman,P/IF,26,24,13,9,1,16,141.1,132,87,50,34,152,7.53,11,2.48,UA Rich Mountain,2
0,Blaire,Gentry,Sophomore,P/IF,19,18,7,8,0,8,93,114,88,61,37,82,6.17,13,4.59,UA Rich Mountain,2
20,McKenna,Bittle,Freshman,P/OF,13,6,1,3,1,0,34.1,44,33,25,26,32,6.52,2,5.1,UA Rich Mountain,2
6,Caitlyn,Mayo,Sophomore,P/OF,16,2,3,4,1,1,29.1,35,24,16,9,19,4.53,3,3.82,UA Rich Mountain,2
10,Elise,Trautman,Freshman,P/OF,8,1,3,0,1,1,14.1,16,8,7,6,11,5.37,1,3.42,UA Rich Mountain,2
31,Madie,Rohre,Freshman,P/IF,1,0,0,0,0,0,1.2,7,6,6,0,1,4.2,0,25.2,UA Rich Mountain,2
5,Bailey,Emery,Freshman,P/2B,28,25,13,8,0,11,129.2,160,120,88,81,125,6.75,9,4.75,Black Hawk-Moline,2
14,Emily,Gamble,Sophomore,P/OF,28,22,9,11,0,9,129.2,164,132,80,50,91,4.91,8,4.32,Black Hawk-Moline,2
17,Elizabeth,Fish,Freshman,P/UT,13,5,3,4,0,1,37.1,61,50,24,21,17,3.19,6,4.5,Black Hawk-Moline,2
3,Olivia,King,Freshman,P/1B,11,4,5,1,1,1,32,40,41,27,20,22,4.81,1,5.91,Black Hawk-Moline,2
8,Katelynn,Emerick,Freshman,P/2B/3B,20,2,2,1,5,0,31.1,42,19,15,2,14,3.13,2,3.35,Black Hawk-Moline,2
2,Macey,Clark,Freshman,,28,24,14,8,0,17,144,170,95,73,56,146,7.1,9,3.55,Bryant and Stratton College (WI),2
28,Kylie,Zehren,Freshman,P,22,18,10,6,2,5,100,121,80,61,47,72,5.04,11,4.27,Bryant and Stratton College (WI),2
41,Erika,Reif,Sophomore,P,20,8,9,4,1,4,50.2,58,31,24,16,31,4.28,3,3.32,Bryant and Stratton College (WI),2
25,Zaria,Jean-Pierre,Freshman,,5,1,0,0,1,0,9,14,8,5,5,4,3.11,0,3.89,Bryant and Stratton College (WI),2
33,Jacie,Jones,Freshman,,2,0,0,0,2,0,6.2,9,4,4,2,5,5.25,0,4.2,Bryant and Stratton College (WI),2
16,Chelsey,Catton,Sophomore,P,22,18,4,11,0,12,91,168,164,114,85,72,5.54,6,8.77,Carl Sandburg,2
9,Brooklyn,Walker,Sophomore,P,19,15,6,7,0,9,82,131,98,67,51,60,5.12,4,5.72,Carl Sandburg,2
13,Carley,Hacke,Freshman,P/IF,9,6,0,1,0,1,22.1,61,50,38,9,6,1.88,1,11.91,Carl Sandburg,2
10,Ava,Ruggles,Freshman,IF,10,3,0,3,0,2,22.1,55,52,39,18,4,1.25,3,12.22,Carl Sandburg,2
25,Maleaha,Nagel,Freshman,P/IF,4,3,0,3,0,2,13.1,28,23,20,9,5,2.63,5,10.5,Carl Sandburg,2
0,Emma,Wolfe,Sophomore,IF,4,1,0,1,0,0,6.2,24,18,11,2,5,5.25,0,11.55,Carl Sandburg,2
14,Rebecca,Schwartz,Freshman,P,35,23,18,11,0,18,173,235,146,105,51,172,6.96,17,4.25,Highland (IL),2
13,Ashley,Vogel,Freshman,P/UT,28,26,11,11,0,15,121,193,123,81,22,44,2.55,8,4.69,Highland (IL),2
12,Sloane,Ambrose,Freshman,P/INF,9,1,0,1,0,0,13.2,25,19,16,5,4,2.05,0,8.2,Highland (IL),2
6,Anna,Skoumal,Freshman,OF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Highland (IL),2
1,Neelah,Vandeberg,Freshman,INF,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Highland (IL),2
2,Katie,Bates,Freshman,"P, IF",22,1,10,5,0,1,110.2,117,64,38,24,108,6.83,2,2.4,Illinois Valley,2
9,Holly,Shriber,Freshman,"P, IF",18,0,6,5,0,0,96.1,140,102,66,32,91,6.61,5,4.8,Illinois Valley,2
5,Hailey,Rakers,Freshman,"P, IF",8,0,0,0,0,0,10.2,35,26,17,3,3,1.97,1,11.16,Illinois Valley,2
24,Taylor,Staton,Sophomore,"P, IF",1,0,0,0,0,0,1.2,3,3,2,0,2,8.4,0,8.4,Illinois Valley,2
24,Koralie,Morin,Freshman,P /IF,28,17,9,10,3,10,118.2,152,104,75,46,123,7.26,16,4.42,Kankakee,2
6,Kaitlynn,Heale,Sophomore,P / OF,31,22,14,10,0,11,111.2,157,99,62,44,89,5.58,7,3.89,Kankakee,2
20,Kaitlyn,Marks,Sophomore,P / OF,19,10,5,1,0,3,56,78,60,36,37,34,4.25,1,4.5,Kankakee,2
19,Paxtyn,Hicks,Sophomore,IF / P,2,1,1,0,0,1,6.2,8,3,1,1,5,5.25,0,1.05,Kankakee,2
14,Lauren,Waller,Freshman,IF / OF / P,1,0,0,0,0,0,1,3,4,4,3,1,7,1,28,Kankakee,2
27,Kya,Logston,Jr,P/UT,27,24,2,10,0,18,125.1,267,211,160,60,72,4.02,12,8.94,Kishwaukee,2
23,Reese,Ward,Sophomore,P/1B,26,24,3,6,0,18,124,256,172,139,36,84,4.74,6,7.85,Kishwaukee,2
20,Samantha,Koper,Sophomore,UT,7,0,0,0,0,0,9.1,12,10,9,4,2,1.5,2,6.75,Kishwaukee,2
12,Amber,Smith,Freshman,,28,19,3,12,0,5,99,150,154,107,73,109,7.71,3,7.57,Lake County,2
16,Julianna,Villalobos,Jr,"P, 1B",31,15,2,14,0,5,83.2,154,176,97,82,40,3.35,7,8.12,Lake County,2
23,Katelyn,Volkmar,Freshman,,14,6,0,6,0,1,35,79,86,68,41,6,1.2,3,13.6,Lake County,2
10,Haley,Bibby,Sophomore,UT,1,1,0,0,0,0,1,1,4,3,2,1,7,0,21,Lake County,2
19,Kiana,Patterson,Sophomore,P/OF,21,17,13,4,2,12,94,116,78,51,26,67,4.99,5,3.8,Madison,2
2,Claire,Smedema,Sophomore,P/OF,18,9,5,3,0,3,57.2,59,35,20,25,53,6.43,1,2.43,Madison,2
14,Hannah,Aldrich,Freshman,P/IF,15,10,6,4,0,3,56,69,50,38,28,34,4.25,7,4.75,Madison,2
22,Addison,Warner,Sophomore,P,11,5,2,3,2,3,36,43,35,19,14,26,5.06,2,3.69,Madison,2
8,Ella,Wyskochil,Freshman,P/UT,11,4,1,4,1,2,34.2,58,35,24,7,12,2.42,2,4.85,Madison,2
20,Brooke,Cimler,Freshman,P/IF,2,2,0,2,0,0,5.1,9,8,4,5,2,2.63,0,5.25,Madison,2
18,Abbie,Honkala,Freshman,P,23,11,2,1,0,7,80,157,136,99,52,37,3.24,8,8.66,McHenry County,2
5,Peyton,Atwater,Sophomore,P/UTL,20,10,0,4,0,0,55.1,108,102,63,36,10,1.27,10,7.97,McHenry County,2
22,Kelli,Seiler,Freshman,INF,17,9,0,0,0,0,38.2,71,62,51,34,9,1.63,10,9.23,McHenry County,2
13,Caitlin,Pruitt,Sophomore,P/OF,1,0,0,0,0,0,2.2,3,2,2,4,0,0,0,5.25,McHenry County,2
16,Kaylin,Berwanger,Freshman,OF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McHenry County,2
0,Lena,Rogers,Sophomore,INF/OF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,McHenry County,2
3,Cassidy,Ostema,Freshman,P/1B,23,20,4,4,0,19,126.2,240,201,131,56,41,2.27,11,7.24,Moraine Valley,2
9,Ruby,Amigon,Freshman,P/1B,16,14,3,3,0,5,53.2,126,108,88,38,20,2.61,8,11.48,Moraine Valley,2
11,Emily,Madrigal,Sophomore,IF/P,15,7,3,3,0,6,53.1,110,78,46,15,11,1.44,4,6.04,Moraine Valley,2
8,Heather,Ward,Sophomore,P/1B,31,23,6,13,0,10,134,230,168,113,45,54,2.82,13,5.9,Morton,2
3,Kennedi,Meinecke,Sophomore,P/2B,30,22,8,11,0,10,132,236,178,127,38,69,3.66,17,6.73,Morton,2
42,Mikayla,Berquist,Freshman,P/1B,16,11,4,8,1,8,73.2,96,58,28,11,55,5.23,4,2.66,Morton,2
2,Kayla,Patrick,Freshman,OF/P,7,1,0,1,0,0,8,22,33,29,18,1,0.88,3,25.38,Morton,2
1,Emily,Bickett,Freshman,SS/CF,3,0,0,0,0,0,2.2,7,10,6,6,2,5.25,1,15.75,Morton,2
